PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
9921, 177, 443, 1027
161278, 700, 1104, 2250
302696, 1115, 1241, 2490
445012, 1457, 1357, 2680
586887, 1835, 1467, 2866
727490, 2221, 1575, 3058
870207, 2595, 1690, 3220
1011139, 2964, 1795, 3354
1152390, 3343, 1911, 3542
1294510, 3721, 2030, 3716
1436280, 4083, 2135, 3845
1577358, 4465, 2247, 4002
1717864, 4860, 2351, 4160
1862342, 5399, 2534, 4689
2003775, 5830, 2652, 5130
2144831, 6255, 2771, 5365
2286360, 6632, 2881, 5627
2428151, 7006, 2985, 5891
2569774, 7397, 3095, 6104
2711203, 7798, 3206, 6306
2853376, 8170, 3312, 6492
2994554, 8561, 3419, 6737
3136534, 8945, 3523, 6960
3277855, 9319, 3623, 7177
3419488, 9701, 3723, 7387
3560920, 10068, 3823, 7588
3703008, 10442, 3923, 7800
3844503, 10830, 4023, 7994
3985301, 11195, 4123, 8173
4126598, 11561, 4223, 8375
4268089, 11918, 4323, 8569
4409846, 12309, 4423, 8766
4551770, 12686, 4523, 8955
4693345, 13059, 4624, 9158
4834730, 13422, 4726, 9343
4976008, 13851, 4826, 9565
5121454, 14360, 4942, 9856
5262861, 14803, 5042, 10053
5404718, 15196, 5142, 10230
5545646, 15575, 5242, 10392
5686122, 15947, 5342, 10553
5827969, 16300, 5445, 10683
5969521, 16693, 5548, 10859
6110205, 17065, 5648, 10998
6251800, 17436, 5748, 11133
6392960, 17783, 5848, 11264
6534494, 18161, 5948, 11409
6676264, 18523, 6050, 11560
6818083, 18906, 6150, 11697
6959830, 19274, 6250, 11836
7102005, 19642, 6350, 11963
7243520, 20015, 6450, 12108
7385761, 20384, 6558, 12249
7527487, 20728, 6658, 12373
7668830, 21084, 6758, 12509
7813288, 21482, 6862, 12648
7955602, 21836, 6962, 12775
8098298, 22205, 7062, 12931
8241428, 22594, 7162, 13076
8383756, 22972, 7266, 13183
8528537, 23454, 7366, 13496
8672996, 23876, 7468, 13718
8815744, 24280, 7568, 13872
8959994, 24650, 7668, 14071
9102974, 25017, 7768, 14221
9245355, 25373, 7868, 14343
9389299, 25738, 7968, 14485
9532627, 26147, 8068, 14649
9675859, 26513, 8168, 14761
9818605, 26885, 8268, 14866
9961330, 27265, 8368, 14982
10103928, 27619, 8468, 15158
10247081, 28003, 8568, 15338
10389796, 28356, 8668, 15448
10533527, 28732, 8768, 15613
10676268, 29110, 8868, 15806
10818981, 29505, 8968, 15975
10961268, 29890, 9068, 16128
11103857, 30253, 9168, 16285
11247050, 30615, 9268, 16443
11390464, 30969, 9368, 16609
11533343, 31373, 9468, 16792
11676573, 31744, 9568, 16945
11818892, 32103, 9668, 17114
11962338, 32489, 9772, 17303
12105619, 32848, 9872, 17448
12248685, 33219, 9974, 17592
12392223, 33624, 10074, 17728
12536529, 33986, 10190, 17882
12679037, 34341, 10290, 18026
12822248, 34712, 10390, 18214
12965605, 35061, 10490, 18390
13109022, 35447, 10590, 18593
13254646, 35930, 10690, 18854
13397803, 36341, 10790, 19079
13540660, 36719, 10890, 19211
13687619, 37076, 10990, 19421
13832958, 37329, 11090, 19565
13976047, 37577, 11190, 19700
14121722, 37787, 11290, 19840
14267257, 38030, 11390, 19988
14413401, 38292, 11490, 20139
14557315, 38548, 11590, 20260
14700593, 38824, 11690, 20392
14844264, 39062, 11790, 20535
14990957, 39309, 11890, 20682
15135143, 39542, 11990, 20792
15279913, 39809, 12090, 20922
15422859, 40031, 12190, 21038
15568511, 40280, 12290, 21172
15712124, 40509, 12390, 21297
15856595, 40738, 12490, 21412
16001802, 40991, 12590, 21575
16144300, 41202, 12690, 21736
16290071, 41440, 12790, 21876
16434492, 41707, 12890, 22028
16578704, 41938, 12990, 22165
16725111, 42192, 13090, 22332
16870270, 42442, 13190, 22466
17015419, 42694, 13290, 22599
17159144, 42935, 13390, 22759
17302968, 43190, 13490, 22902
17447775, 43422, 13590, 23039
17591315, 43679, 13690, 23161
17734537, 43913, 13790, 23303
17877040, 44145, 13890, 23413
18020810, 44372, 13990, 23523
18165839, 44608, 14090, 23637
18310566, 44871, 14190, 23773
18453963, 45126, 14290, 23905
18597813, 45383, 14390, 24046
18741993, 45632, 14490, 24175
18887687, 45882, 14590, 24308
19032532, 46134, 14690, 24430
19177143, 46379, 14791, 24553
19321210, 46628, 14896, 24669
19471229, 46998, 15006, 24864
19615730, 47299, 15108, 25025
19760401, 47597, 15208, 25165
19905878, 47843, 15308, 25279
20050345, 48082, 15408, 25406
20195445, 48329, 15508, 25566
20339086, 48566, 15608, 25688
20484791, 49009, 15757, 26700
20630197, 49309, 15875, 27004
20774927, 49567, 15983, 27230
20919573, 49850, 16091, 27426
21065460, 50116, 16199, 27620
21207834, 50377, 16301, 27824
21351041, 50617, 16403, 28018
21495888, 50894, 16503, 28216
21644577, 51173, 16605, 28401
21790978, 51425, 16705, 28578
22000586, 52154, 16810, 29957
22148625, 52494, 16930, 30780
22294882, 52785, 17030, 31065
22439280, 53060, 17130, 31321
22587479, 53348, 17230, 31509
22732483, 53615, 17330, 31690
22876285, 53872, 17430, 31845
23022854, 54138, 17530, 32047
23169405, 54432, 17630, 32207
23316892, 54707, 17730, 32350
23464767, 54967, 17830, 32495
23611187, 55249, 17930, 32672
23757965, 55515, 18030, 32832
23903780, 55773, 18130, 32979
24049969, 56058, 18230, 33152
24193669, 56293, 18330, 33282
24340298, 56568, 18434, 33447
24485607, 56820, 18534, 33565
24630566, 57078, 18634, 33690
24776583, 57335, 18734, 33804
24924035, 57602, 18834, 33938
25068959, 57865, 18934, 34073
25216560, 58111, 19034, 34231
25363578, 58335, 19134, 34370
25510168, 58583, 19238, 34518
25656178, 58836, 19340, 34677
25803342, 59103, 19440, 34830
25951790, 59397, 19540, 34986
26097600, 59649, 19640, 35112
26244134, 59925, 19740, 35259
26389086, 60168, 19840, 35384
26534407, 60416, 19940, 35514
26680554, 60819, 20040, 35931
26826410, 61142, 20140, 36217
26972187, 61413, 20242, 36394
27117085, 61667, 20353, 36589
27262636, 61886, 20465, 36747
27409953, 62155, 20573, 36943
27555363, 62428, 20679, 37104
27703452, 62688, 20781, 37250
27850437, 62944, 20883, 37375
27997325, 63229, 20984, 37572
28144939, 63490, 21084, 37708
28292485, 63760, 21184, 37838
28438342, 64020, 21284, 37958
28586103, 64252, 21384, 38069
28732134, 64504, 21484, 38175
28878710, 64744, 21584, 38284
29025264, 65009, 21684, 38398
29171638, 65275, 21784, 38506
29318072, 65511, 21884, 38628
29465953, 65751, 21984, 38732
29612752, 66028, 22084, 38845
29761234, 66285, 22184, 38964
29907554, 66526, 22284, 39109
30056714, 66795, 22384, 39261
30204351, 67071, 22484, 39390
30349202, 67329, 22584, 39527
30495214, 67620, 22684, 39671
