PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
10371, 186, 501, 1070
160658, 726, 1157, 2314
304054, 1149, 1318, 2658
446474, 1547, 1433, 2970
588859, 1983, 1545, 3264
731596, 2404, 1660, 3528
874573, 2813, 1771, 3792
1016100, 3238, 1888, 4049
1158324, 3657, 1998, 4311
1300569, 4074, 2108, 4602
1443270, 4462, 2219, 4848
1585271, 4897, 2319, 5119
1726667, 5305, 2420, 5357
1869038, 5710, 2520, 5587
2011201, 6116, 2625, 5817
2154007, 6529, 2725, 6032
2296753, 6976, 2828, 6275
2438950, 7368, 2928, 6481
2582504, 7929, 3140, 7082
2724763, 8380, 3267, 7491
2867412, 8814, 3373, 7772
3008936, 9213, 3495, 8035
3150859, 9620, 3599, 8278
3293443, 10033, 3703, 8511
3435419, 10459, 3812, 8758
3577968, 10865, 3916, 8972
3719740, 11266, 4020, 9203
3862710, 11659, 4130, 9386
4004951, 12080, 4240, 9617
4147457, 12490, 4344, 9801
4289870, 12899, 4447, 9992
4432653, 13281, 4549, 10221
4574969, 13668, 4649, 10439
4717333, 14090, 4752, 10635
4860630, 14523, 4852, 10840
5003335, 14955, 4952, 11038
5145735, 15382, 5052, 11275
5288965, 15766, 5152, 11456
5431469, 16172, 5252, 11679
5573881, 16587, 5352, 11889
5719487, 17091, 5502, 12282
5862157, 17555, 5627, 12614
6004840, 17967, 5730, 12887
6147545, 18335, 5835, 13123
6290471, 18765, 5942, 13374
6433174, 19148, 6047, 13631
6575375, 19558, 6152, 13916
6718616, 19992, 6254, 14129
6861845, 20377, 6354, 14338
7004515, 20801, 6454, 14573
7146875, 21214, 6554, 14826
7288651, 21643, 6654, 15059
7431503, 22040, 6754, 15252
7574342, 22434, 6854, 15481
7720171, 22834, 6954, 15717
7864730, 23241, 7054, 15928
8008606, 23658, 7154, 16140
8151420, 24039, 7254, 16347
8294218, 24432, 7354, 16562
8438208, 24854, 7454, 16791
8582591, 25247, 7554, 17012
8726851, 25656, 7654, 17246
8870108, 26057, 7754, 17493
9013316, 26454, 7857, 17695
9157831, 26867, 7957, 17904
9302200, 27262, 8057, 18134
9445513, 27658, 8157, 18355
9591918, 28213, 8257, 18806
9736173, 28659, 8357, 19148
9879777, 29106, 8457, 19529
10023209, 29502, 8557, 19825
10167240, 29922, 8657, 20110
10311174, 30322, 8757, 20479
10455134, 30733, 8858, 20805
10599230, 31153, 8958, 21099
10744563, 31574, 9059, 21392
10888417, 31985, 9159, 21730
11032840, 32379, 9262, 22026
11176446, 32784, 9362, 22323
11320192, 33202, 9462, 22613
11464853, 33621, 9562, 22918
11608671, 34004, 9662, 23209
11752404, 34428, 9762, 23481
11896686, 34859, 9862, 23790
12040510, 35278, 9962, 24077
12184834, 35681, 10062, 24403
12328574, 36095, 10162, 24687
12472709, 36530, 10262, 25008
12615554, 36913, 10362, 25296
12759408, 37324, 10462, 25578
12903418, 37741, 10562, 25815
13047305, 38133, 10662, 26081
13191190, 38522, 10762, 26363
13335644, 38918, 10862, 26651
13480218, 39335, 10962, 26918
13628080, 39652, 11062, 27151
13773845, 39925, 11162, 27357
13919970, 40232, 11262, 27640
14069232, 40566, 11362, 27903
14215129, 40863, 11462, 28127
14360960, 41164, 11562, 28367
14508266, 41574, 11662, 28747
14652360, 41846, 11762, 28952
14798793, 42149, 11862, 29214
14942895, 42435, 11962, 29403
15088004, 42744, 12062, 29623
15230770, 43016, 12162, 29828
15376453, 43330, 12262, 30046
15521523, 43593, 12362, 30229
15667335, 43875, 12462, 30412
15813016, 44148, 12562, 30589
15957831, 44417, 12662, 30760
16103428, 44717, 12762, 30927
16247631, 44999, 12862, 31096
16392350, 45269, 12962, 31250
16538595, 45534, 13062, 31415
16685491, 45822, 13162, 31606
16829391, 46104, 13262, 31773
16974400, 46421, 13362, 31940
17120366, 46751, 13462, 32107
17266481, 47058, 13562, 32275
17411853, 47325, 13662, 32428
17556830, 47624, 13763, 32624
17703359, 47937, 13863, 32855
17848891, 48251, 13963, 33060
17992128, 48527, 14063, 33264
18137800, 48797, 14163, 33482
18283434, 49066, 14263, 33691
18427504, 49352, 14363, 33897
18572968, 49603, 14463, 34098
18719820, 49904, 14563, 34313
18863468, 50158, 14663, 34510
19010164, 50439, 14763, 34688
19154910, 50722, 14863, 34890
19298716, 51022, 14963, 35096
19444564, 51307, 15063, 35312
19592435, 51612, 15163, 35531
19739305, 51923, 15263, 35753
19885428, 52201, 15363, 35947
20029447, 52495, 15463, 36158
20175649, 52790, 15563, 36378
20321205, 53081, 15663, 36605
20465862, 53343, 15763, 36798
20612876, 53798, 15887, 37622
20758677, 54141, 15997, 38070
20907539, 54543, 16097, 38525
21052356, 54827, 16203, 38822
21197940, 55115, 16309, 39085
21342083, 55421, 16417, 39354
21487328, 55699, 16521, 39565
21635845, 55981, 16623, 39797
21783093, 56255, 16728, 40048
21932259, 56582, 16830, 40290
22080679, 56877, 16932, 40473
22228460, 57199, 17032, 40677
22376301, 57487, 17132, 40876
22526178, 57783, 17232, 41068
22672107, 58099, 17332, 41268
22818637, 58376, 17432, 41466
22965631, 58679, 17532, 41670
23115690, 58982, 17632, 41896
23264398, 59275, 17732, 42062
23411327, 59554, 17832, 42235
23559892, 59831, 17932, 42441
23706905, 60130, 18032, 42671
23855720, 60430, 18132, 42862
24003825, 60691, 18232, 43097
24151634, 60973, 18332, 43307
24299700, 61260, 18432, 43526
24447128, 61545, 18532, 43737
24594182, 61811, 18632, 43939
24742706, 62110, 18732, 44181
24892577, 62394, 18832, 44387
25040250, 62663, 18932, 44552
25188958, 62913, 19032, 44757
25336341, 63206, 19132, 45005
25483200, 63475, 19232, 45242
25630639, 63764, 19332, 45479
25778690, 64053, 19432, 45737
25925067, 64316, 19532, 45981
26073322, 64594, 19632, 46231
26222421, 64850, 19732, 46489
26373136, 65137, 19832, 46755
26520973, 65428, 19932, 47019
26669328, 65713, 20032, 47278
26814521, 65985, 20132, 47525
26964174, 66282, 20232, 47758
27112860, 66566, 20332, 47994
27259716, 66872, 20436, 48240
27406863, 67154, 20536, 48495
27555946, 67451, 20636, 48752
27702225, 67743, 20736, 49012
27849078, 68026, 20836, 49296
27996059, 68313, 20936, 49550
28145084, 68605, 21036, 49793
28292215, 68909, 21136, 50052
28439266, 69174, 21236, 50327
28587424, 69579, 21336, 50711
28733703, 69915, 21440, 51074
28879676, 70200, 21540, 51283
29026736, 70474, 21640, 51492
29174270, 70771, 21740, 51657
29322078, 71060, 21840, 51844
29469459, 71351, 21940, 52052
29615801, 71640, 22040, 52214
29763701, 71914, 22140, 52385
29910154, 72220, 22240, 52551
30055599, 72485, 22340, 52709
30203019, 72804, 22442, 52873
30350889, 73094, 22542, 53036
30497981, 73391, 22642, 53190
30645041, 73681, 22742, 53340
30792685, 73977, 22842, 53474
30939869, 74290, 22942, 53646
31088495, 74574, 23042, 53796
31236714, 74868, 23146, 53941
31386589, 75151, 23246, 54078
31538078, 75447, 23346, 54233
31688191, 75744, 23446, 54386
31839803, 76066, 23548, 54542
31991608, 76338, 23648, 54684
32142735, 76605, 23748, 54847
32293664, 76869, 23848, 54993
32443533, 77144, 23948, 55138
32594774, 77423, 24048, 55295
32746427, 77740, 24148, 55456
32896544, 78015, 24248, 55602
33049435, 78305, 24350, 55763
33198080, 78576, 24450, 55925
33347812, 78884, 24550, 56089
33498844, 79173, 24650, 56248
33649874, 79450, 24750, 56412
33801624, 79743, 24850, 56570
33951882, 80030, 24950, 56782
34101713, 80310, 25050, 56985
34253448, 80571, 25150, 57183
34403893, 80833, 25250, 57389
34555185, 81129, 25350, 57604
34706909, 81398, 25450, 57821
34858630, 81647, 25550, 57998
35008520, 81934, 25650, 58203
35159494, 82215, 25752, 58396
35312130, 82497, 25852, 58567
35462364, 82792, 25952, 58734
35613552, 83057, 26052, 58933
35765131, 83353, 26152, 59136
35913910, 83627, 26252, 59317
36065307, 83905, 26352, 59499
36214774, 84184, 26452, 59683
36365526, 84489, 26552, 59853
36516536, 84736, 26652, 60019
36667640, 85005, 26752, 60205
36820486, 85281, 26852, 60377
36972376, 85553, 26952, 60572
37123973, 85823, 27052, 60748
