PAPI_TOT_CYC,PAPI_L1_DCM,PAPI_L3_TCM,PAPI_L3_TCA
202983.0,483.0,271.0,858.0
190888.0,400.0,16.0,160.0
187471.0,311.0,50.0,150.0
187879.0,385.0,31.0,134.0
190258.0,413.0,44.0,122.0
190833.0,367.0,65.0,183.0
190229.0,307.0,2.0,139.0
191145.0,364.0,37.0,172.0
190827.0,372.0,32.0,131.0
189758.0,359.0,23.0,102.0
188127.0,454.0,27.0,155.0
188292.0,442.0,50.0,140.0
191386.0,309.0,0.0,85.0
190121.0,416.0,12.0,35.0
194522.0,478.0,38.0,343.0
190008.0,364.0,12.0,263.0
192984.0,324.0,52.0,242.0
191031.0,462.0,37.0,155.0
191030.0,328.0,16.0,89.0
192100.0,377.0,6.0,34.0
191691.0,448.0,31.0,72.0
190849.0,406.0,13.0,76.0
190146.0,317.0,2.0,103.0
190492.0,402.0,8.0,95.0
190765.0,359.0,17.0,120.0
190609.0,313.0,15.0,83.0
190865.0,442.0,4.0,185.0
188699.0,353.0,58.0,183.0
189771.0,354.0,12.0,57.0
190899.0,432.0,24.0,56.0
187686.0,479.0,21.0,62.0
190526.0,338.0,12.0,104.0
191749.0,439.0,27.0,129.0
187589.0,403.0,13.0,88.0
188582.0,343.0,6.0,58.0
188543.0,440.0,23.0,182.0
187839.0,315.0,23.0,76.0
186895.0,299.0,24.0,135.0
186305.0,403.0,19.0,181.0
189895.0,417.0,4.0,90.0
190224.0,362.0,43.0,162.0
193734.0,283.0,10.0,131.0
192003.0,393.0,22.0,109.0
192235.0,322.0,29.0,102.0
193890.0,349.0,8.0,48.0
189183.0,384.0,6.0,96.0
192208.0,372.0,2.0,76.0
192577.0,325.0,4.0,36.0
192668.0,416.0,2.0,43.0
193639.0,406.0,35.0,90.0
190971.0,319.0,51.0,191.0
190033.0,351.0,8.0,140.0
191870.0,380.0,6.0,123.0
193032.0,371.0,24.0,148.0
193976.0,385.0,39.0,163.0
194465.0,390.0,35.0,172.0
192412.0,355.0,26.0,135.0
194952.0,412.0,7.0,131.0
191180.0,421.0,6.0,118.0
195673.0,354.0,13.0,44.0
191146.0,382.0,24.0,73.0
194740.0,402.0,6.0,50.0
193628.0,320.0,7.0,93.0
191488.0,418.0,11.0,82.0
191771.0,412.0,16.0,153.0
193721.0,345.0,29.0,172.0
190421.0,427.0,24.0,99.0
196239.0,389.0,35.0,160.0
193971.0,309.0,7.0,103.0
192968.0,347.0,13.0,156.0
191024.0,429.0,7.0,87.0
192542.0,413.0,16.0,149.0
191788.0,363.0,6.0,66.0
191862.0,466.0,21.0,42.0
190257.0,372.0,23.0,178.0
195785.0,417.0,24.0,124.0
193245.0,388.0,14.0,49.0
193540.0,390.0,7.0,139.0
194382.0,358.0,10.0,77.0
192063.0,401.0,31.0,156.0
192619.0,379.0,34.0,119.0
191622.0,323.0,16.0,80.0
195207.0,421.0,17.0,133.0
193925.0,411.0,21.0,160.0
196520.0,348.0,18.0,134.0
191526.0,398.0,19.0,122.0
189387.0,366.0,7.0,131.0
195108.0,334.0,12.0,107.0
192145.0,420.0,10.0,154.0
188888.0,349.0,25.0,330.0
160862.0,76.0,14.0,231.0
165166.0,73.0,0.0,154.0
188830.0,335.0,14.0,338.0
191499.0,364.0,18.0,167.0
188009.0,389.0,3.0,79.0
190284.0,227.0,0.0,149.0
189072.0,382.0,20.0,205.0
190719.0,390.0,18.0,151.0
190349.0,345.0,5.0,132.0
189207.0,285.0,7.0,62.0
190937.0,345.0,4.0,86.0
187400.0,364.0,6.0,139.0
189713.0,304.0,0.0,64.0
190950.0,421.0,4.0,37.0
189284.0,407.0,34.0,152.0
190151.0,321.0,6.0,66.0
188636.0,313.0,6.0,137.0
189412.0,469.0,24.0,152.0
187816.0,360.0,5.0,183.0
191819.0,351.0,16.0,117.0
190592.0,416.0,29.0,174.0
190587.0,348.0,17.0,166.0
188619.0,361.0,14.0,69.0
191454.0,401.0,24.0,81.0
188485.0,331.0,12.0,84.0
191919.0,366.0,5.0,47.0
191453.0,428.0,6.0,103.0
192308.0,395.0,20.0,267.0
191868.0,392.0,15.0,189.0
193430.0,421.0,13.0,111.0
191263.0,397.0,13.0,129.0
187805.0,323.0,4.0,47.0
188209.0,416.0,0.0,82.0
188599.0,376.0,6.0,195.0
191202.0,322.0,6.0,73.0
191891.0,419.0,9.0,103.0
188637.0,358.0,0.0,33.0
190737.0,358.0,6.0,33.0
191223.0,424.0,8.0,92.0
191381.0,399.0,19.0,138.0
193403.0,326.0,34.0,131.0
195190.0,335.0,28.0,164.0
189433.0,432.0,7.0,89.0
189637.0,351.0,0.0,101.0
192877.0,414.0,3.0,118.0
194753.0,448.0,8.0,54.0
196326.0,365.0,10.0,48.0
190982.0,344.0,1.0,84.0
192795.0,440.0,7.0,84.0
193854.0,340.0,10.0,127.0
192389.0,372.0,8.0,62.0
190568.0,414.0,5.0,94.0
190653.0,369.0,11.0,137.0
193443.0,315.0,6.0,100.0
191486.0,363.0,14.0,126.0
194114.0,451.0,26.0,137.0
