PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
10346, 174, 432, 1009
161364, 670, 1105, 2168
304775, 1097, 1259, 2415
446830, 1538, 1385, 2586
589163, 1975, 1507, 2737
730911, 2390, 1628, 2901
872930, 2840, 1743, 3059
1015553, 3274, 1852, 3194
1157857, 3713, 1969, 3346
1299931, 4172, 2075, 3478
1441345, 4619, 2179, 3599
1582770, 5090, 2284, 3744
1724107, 5511, 2385, 3851
1867430, 6116, 2575, 4362
2009716, 6595, 2734, 4768
2151341, 7047, 2881, 5033
2292606, 7466, 2987, 5276
2434730, 7899, 3091, 5463
2576396, 8324, 3201, 5675
2718162, 8749, 3313, 5871
2860152, 9187, 3424, 6067
3001495, 9622, 3533, 6256
3143362, 10071, 3639, 6428
3285584, 10485, 3739, 6592
3427026, 10941, 3839, 6749
3568818, 11402, 3943, 6919
3710975, 11829, 4043, 7080
3853926, 12263, 4143, 7242
3996006, 12713, 4243, 7394
4137757, 13138, 4343, 7551
4279203, 13567, 4443, 7716
4421106, 13984, 4543, 7883
4563793, 14385, 4643, 8041
4705716, 14828, 4746, 8209
4847267, 15277, 4846, 8367
4992803, 15815, 4946, 8613
5135532, 16280, 5074, 8840
5277580, 16704, 5182, 8985
5419354, 17141, 5291, 9109
5561170, 17552, 5399, 9235
5702471, 18008, 5511, 9356
5843760, 18435, 5619, 9476
5986011, 18862, 5731, 9599
6127268, 19267, 5839, 9712
6269430, 19661, 5945, 9825
6410778, 20095, 6050, 9932
6552428, 20491, 6154, 10044
6694907, 20929, 6258, 10150
6836733, 21349, 6360, 10261
6978913, 21773, 6462, 10363
7120666, 22192, 6562, 10464
7262656, 22583, 6662, 10566
7404959, 22997, 6762, 10667
7546280, 23440, 6862, 10768
7687779, 23877, 6962, 10868
7829371, 24278, 7062, 10972
7971314, 24697, 7162, 11072
8112743, 25106, 7262, 11174
8256376, 25634, 7362, 11358
8397896, 26092, 7462, 11480
8554382, 26459, 7562, 11630
8712040, 26760, 7662, 11744
8870322, 27022, 7770, 11857
9024702, 27310, 7890, 11979
9182251, 27610, 7996, 12095
9340474, 27919, 8096, 12203
9497015, 28211, 8196, 12320
9654549, 28512, 8296, 12420
9811083, 28813, 8396, 12520
9968603, 29131, 8496, 12622
10124725, 29454, 8596, 12726
10281891, 29751, 8696, 12828
10439279, 30029, 8796, 12932
10596904, 30316, 8896, 13034
10754030, 30603, 8996, 13134
10910843, 30894, 9096, 13234
11067882, 31200, 9196, 13334
11225053, 31493, 9296, 13436
11382268, 31782, 9396, 13536
11539010, 32087, 9496, 13643
11693882, 32378, 9596, 13743
11851995, 32657, 9696, 13843
12007669, 32973, 9796, 13945
12165879, 33288, 9896, 14047
12324037, 33592, 9996, 14149
12481417, 33905, 10096, 14249
12636815, 34220, 10196, 14356
12794584, 34529, 10296, 14456
12949788, 34830, 10396, 14560
13105848, 35143, 10498, 14662
13262143, 35445, 10598, 14766
13419074, 35735, 10698, 14866
13576691, 36029, 10798, 14970
13733925, 36343, 10898, 15070
13892011, 36647, 10998, 15174
14050219, 36942, 11098, 15276
14207769, 37257, 11198, 15380
14365874, 37593, 11298, 15480
14523915, 37890, 11398, 15584
14680269, 38182, 11498, 15684
14837807, 38499, 11598, 15790
14993769, 38792, 11698, 15890
15153130, 39103, 11798, 15991
15308595, 39415, 11898, 16095
15465010, 39715, 11998, 16197
15622474, 40023, 12098, 16303
15779524, 40339, 12198, 16403
15937547, 40659, 12298, 16507
16095124, 40986, 12398, 16607
16251588, 41277, 12498, 16711
16407025, 41600, 12598, 16811
16562507, 41899, 12698, 16915
16720724, 42199, 12798, 17015
16878759, 42501, 12898, 17115
17036697, 42826, 12998, 17215
17194195, 43123, 13098, 17315
17352344, 43437, 13198, 17415
17507054, 43743, 13298, 17515
17663161, 44030, 13398, 17616
17819480, 44320, 13498, 17716
17978354, 44588, 13598, 17816
18134604, 44845, 13698, 17916
18291951, 45142, 13799, 18026
18449388, 45450, 13899, 18174
18603587, 45747, 13999, 18326
18760879, 46060, 14099, 18478
18917601, 46382, 14199, 18626
19073381, 46706, 14299, 18774
19231742, 47019, 14399, 18930
19389856, 47286, 14499, 19078
19545331, 47622, 14599, 19228
19702503, 47912, 14699, 19384
19858892, 48234, 14799, 19536
20016854, 48545, 14899, 19686
20172493, 48851, 14999, 19834
20333160, 49241, 15099, 20029
20490437, 49602, 15199, 20161
20649125, 49954, 15299, 20278
20807110, 50279, 15399, 20387
20964987, 50606, 15499, 20494
21123124, 50908, 15599, 20609
21280562, 51210, 15699, 20734
21436569, 51485, 15799, 20844
21596770, 51939, 15906, 21643
21753152, 52282, 16028, 22044
21911507, 52622, 16142, 22421
22068997, 52949, 16242, 22654
22227041, 53300, 16348, 22867
22383592, 53635, 16448, 23073
22541632, 53946, 16552, 23262
22698781, 54259, 16656, 23450
22853952, 54582, 16756, 23632
23010668, 54905, 16856, 23797
23166912, 55213, 16956, 23982
23323240, 55487, 17056, 24148
23477777, 55749, 17161, 24304
23636330, 56028, 17261, 24462
23794108, 56334, 17362, 24638
23951588, 56606, 17462, 24788
24110140, 56903, 17562, 24951
24267645, 57196, 17662, 25116
24425242, 57508, 17762, 25271
24582605, 57863, 17862, 25424
24738869, 58175, 17962, 25589
24895897, 58511, 18062, 25748
25054105, 58809, 18162, 25905
25212093, 59115, 18262, 26057
25368925, 59416, 18362, 26217
25526026, 59717, 18462, 26367
25684588, 59999, 18562, 26520
25841987, 60312, 18662, 26673
25999979, 60606, 18762, 26828
26157283, 60912, 18862, 26982
26315906, 61236, 18962, 27131
