PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
11381, 176, 460, 1081
181625, 565, 1074, 2165
340373, 888, 1236, 2355
498956, 1152, 1352, 2514
656978, 1400, 1483, 2685
814080, 1666, 1595, 2818
971873, 1951, 1709, 2950
1128750, 2201, 1872, 3118
1286205, 2440, 1985, 3288
1443018, 2715, 2097, 3476
1601247, 2993, 2205, 3638
1758806, 3252, 2312, 3793
1916688, 3507, 2412, 3941
2075222, 3730, 2512, 4095
2232633, 3967, 2612, 4253
2390634, 4226, 2712, 4405
2548218, 4480, 2814, 4559
2706660, 4728, 2914, 4709
2864117, 4974, 3014, 4863
3020100, 5223, 3114, 5013
3177367, 5498, 3214, 5163
3334964, 5781, 3314, 5319
3492917, 6047, 3414, 5477
3649963, 6316, 3514, 5629
3807045, 6592, 3616, 5787
3965253, 6858, 3719, 5944
4122339, 7106, 3819, 6124
4279794, 7324, 3919, 6278
4436961, 7548, 4019, 6434
4593528, 7808, 4119, 6591
4752063, 8068, 4224, 6751
4909648, 8345, 4324, 6907
5066951, 8607, 4424, 7057
5225318, 8861, 4524, 7211
5383448, 9090, 4624, 7365
5541217, 9342, 4729, 7522
5699091, 9606, 4829, 7688
5857146, 9856, 4929, 7840
6014714, 10124, 5029, 7996
6172816, 10401, 5129, 8144
6331160, 10660, 5229, 8298
6487249, 10893, 5329, 8450
6645134, 11149, 5429, 8604
6803528, 11384, 5529, 8752
6961264, 11650, 5629, 8900
7118660, 11891, 5733, 9056
7276583, 12153, 5833, 9210
7434961, 12405, 5933, 9358
7592501, 12619, 6033, 9506
7749121, 12886, 6133, 9656
7907344, 13130, 6237, 9816
8064727, 13376, 6337, 9964
8222320, 13638, 6437, 10112
8380683, 13902, 6537, 10271
8538438, 14154, 6637, 10425
8696281, 14443, 6737, 10575
8854860, 14700, 6837, 10723
9012380, 14963, 6937, 10879
9170170, 15224, 7037, 11035
9327623, 15487, 7137, 11185
9486186, 15751, 7237, 11333
9643662, 15991, 7345, 11491
9801316, 16261, 7445, 11650
9958184, 16503, 7545, 11798
10116037, 16771, 7645, 11948
10273163, 17063, 7745, 12098
10430582, 17305, 7845, 12252
10587060, 17545, 7945, 12400
10744837, 17787, 8045, 12550
10902746, 18040, 8145, 12700
11060801, 18295, 8245, 12854
11218540, 18576, 8345, 13002
11376576, 18842, 8450, 13157
11534882, 19088, 8554, 13310
11692486, 19362, 8654, 13464
11850226, 19609, 8754, 13612
12021729, 19982, 8872, 14066
12179300, 20274, 9000, 14349
12337378, 20496, 9108, 14510
12495654, 20753, 9212, 14655
12651538, 21000, 9316, 14784
12809492, 21282, 9425, 14924
12967641, 21522, 9526, 15042
13127314, 21773, 9626, 15154
13285300, 22071, 9726, 15273
13442501, 22341, 9826, 15384
13600855, 22583, 9926, 15496
13758908, 22819, 10026, 15603
13916064, 23068, 10126, 15713
14074860, 23324, 10226, 15817
14232668, 23575, 10326, 15927
14390258, 23821, 10426, 16027
14548554, 24048, 10526, 16127
14706116, 24348, 10626, 16231
14864079, 24627, 10726, 16331
15022020, 24877, 10826, 16434
15180197, 25131, 10926, 16534
15335706, 25386, 11026, 16638
15493833, 25626, 11126, 16738
15653790, 25900, 11226, 16847
15811401, 26151, 11326, 16947
15969081, 26417, 11426, 17051
16127813, 26666, 11526, 17176
16285328, 26912, 11626, 17279
16443170, 27131, 11726, 17379
16599798, 27388, 11826, 17483
16757673, 27658, 11926, 17583
16915207, 27931, 12026, 17687
17073818, 28198, 12126, 17787
17231406, 28429, 12226, 17887
17389755, 28715, 12327, 17988
17547269, 28987, 12427, 18088
17704841, 29262, 12527, 18188
17862761, 29495, 12627, 18288
18021192, 29763, 12727, 18388
18179173, 30028, 12827, 18488
18336726, 30264, 12927, 18589
18494593, 30496, 13028, 18693
18652632, 30776, 13128, 18793
18811044, 31062, 13228, 18893
18970086, 31314, 13328, 18993
19128032, 31566, 13428, 19093
19285527, 31803, 13528, 19193
19443824, 32074, 13628, 19293
19601674, 32314, 13728, 19393
19759903, 32614, 13830, 19498
19917549, 32869, 13932, 19600
20073916, 33150, 14032, 19700
20230537, 33425, 14132, 19803
20388288, 33690, 14232, 19903
20546009, 33957, 14332, 20003
20702922, 34191, 14432, 20103
20859377, 34424, 14532, 20203
21016790, 34648, 14632, 20303
21174346, 34891, 14732, 20406
21331035, 35154, 14832, 20506
21489000, 35416, 14932, 20613
21646791, 35656, 15032, 20713
21804640, 35928, 15132, 20814
21962841, 36196, 15232, 20918
22120003, 36462, 15332, 21018
22278725, 36749, 15432, 21118
22436897, 36989, 15532, 21222
22594270, 37246, 15632, 21322
22753588, 37685, 15754, 22302
22912052, 37985, 15857, 22569
23070905, 38277, 15966, 22732
23228449, 38536, 16070, 22883
23385997, 38801, 16176, 23017
23544639, 39077, 16288, 23139
23702624, 39384, 16402, 23257
23859502, 39652, 16518, 23371
