PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
13688, 178, 573, 1090
186674, 538, 1214, 2131
346587, 803, 1326, 2271
504166, 1037, 1433, 2401
662884, 1273, 1551, 2529
819911, 1507, 1661, 2654
976316, 1732, 1773, 2806
1134088, 1935, 1877, 2910
1292779, 2143, 2011, 3052
1448854, 2343, 2119, 3168
1606518, 2556, 2229, 3282
1765264, 2791, 2337, 3394
1922558, 2995, 2443, 3505
2080071, 3196, 2547, 3617
2239068, 3396, 2649, 3731
2400329, 3718, 2765, 4016
2558169, 3992, 2938, 4345
2715584, 4224, 3059, 4500
2874286, 4453, 3161, 4622
3031949, 4645, 3261, 4727
3187986, 4864, 3361, 4843
3346139, 5079, 3463, 4961
3504179, 5280, 3563, 5068
3661503, 5495, 3663, 5189
3820239, 5714, 3763, 5310
3975969, 5930, 3863, 5427
4134057, 6135, 3963, 5530
4291640, 6325, 4063, 5630
4451792, 6540, 4163, 5732
4609561, 6751, 4263, 5842
4767479, 6954, 4363, 5948
4923068, 7172, 4463, 6052
5079788, 7352, 4563, 6152
5237424, 7557, 4663, 6256
5396319, 7763, 4763, 6356
5552098, 7956, 4863, 6456
5710054, 8150, 4963, 6560
5867592, 8343, 5063, 6661
6026070, 8553, 5163, 6765
6184035, 8760, 5263, 6865
6342198, 8959, 5363, 6965
6500302, 9145, 5465, 7069
6657812, 9337, 5565, 7169
6815838, 9532, 5667, 7273
6973861, 9730, 5767, 7375
7131516, 9946, 5867, 7475
7289330, 10139, 5967, 7579
7445238, 10351, 6067, 7679
7602287, 10543, 6167, 7783
7759914, 10754, 6267, 7883
7917464, 10941, 6370, 7987
8074472, 11152, 6473, 8095
8232454, 11326, 6573, 8200
8388697, 11522, 6673, 8304
8546116, 11710, 6773, 8406
8702768, 11900, 6873, 8510
8860295, 12082, 6973, 8610
9018442, 12300, 7085, 8727
9175539, 12507, 7202, 8847
9333105, 12712, 7302, 8951
9490934, 12913, 7402, 9055
9647837, 13120, 7502, 9161
9805445, 13305, 7602, 9265
9963316, 13506, 7702, 9365
10121501, 13720, 7802, 9465
10279248, 13911, 7902, 9569
10436481, 14123, 8002, 9669
10594326, 14336, 8102, 9773
10751962, 14505, 8202, 9873
10908828, 14715, 8311, 9989
11065015, 14891, 8411, 10090
11221469, 15094, 8513, 10200
11378312, 15305, 8621, 10310
11536143, 15523, 8729, 10418
11694336, 15709, 8831, 10522
11848511, 15926, 8939, 10632
12005358, 16112, 9047, 10742
12163515, 16310, 9147, 10844
12319543, 16526, 9252, 10951
12477783, 16716, 9353, 11054
12635129, 16922, 9454, 11156
12793126, 17109, 9554, 11256
12951643, 17302, 9654, 11356
13109157, 17505, 9757, 11468
13268779, 17714, 9857, 11571
13426476, 17941, 9957, 11671
13584510, 18141, 10057, 11775
13740738, 18350, 10159, 11882
13898769, 18557, 10259, 11982
14056928, 18771, 10367, 12097
14213545, 18968, 10471, 12203
14370656, 19163, 10575, 12309
14528960, 19357, 10679, 12413
14687102, 19563, 10783, 12519
14844606, 19755, 10887, 12624
15002995, 19960, 10991, 12736
15160681, 20158, 11095, 12842
15317969, 20373, 11199, 12946
15476035, 20557, 11303, 13050
15691641, 21149, 11454, 13844
15917218, 21773, 11604, 15085
16100416, 22082, 11751, 15795
16280747, 22318, 11854, 15978
16513775, 22627, 11954, 16215
16694767, 23036, 12097, 16788
16854333, 23317, 12212, 17203
17010861, 23582, 12312, 17345
17166478, 23797, 12412, 17506
17323202, 24015, 12513, 17640
17480523, 24219, 12613, 17750
17638883, 24433, 12713, 17876
17796317, 24624, 12813, 17980
17951575, 24813, 12914, 18094
18109317, 25019, 13017, 18211
18267800, 25222, 13117, 18313
18425201, 25431, 13217, 18417
18578603, 25635, 13318, 18532
18736043, 25857, 13419, 18648
18894641, 26069, 13519, 18756
19051244, 26272, 13619, 18880
19206788, 26487, 13719, 19012
19365162, 26717, 13819, 19116
19521480, 26923, 13919, 19219
19678910, 27132, 14019, 19320
19836886, 27335, 14120, 19441
19995401, 27503, 14220, 19559
20154547, 27701, 14320, 19664
20310639, 27914, 14420, 19771
20468762, 28122, 14520, 19874
20625735, 28301, 14620, 19981
20781229, 28502, 14720, 20081
20937660, 28706, 14820, 20181
21096395, 28910, 14920, 20281
21253839, 29120, 15020, 20381
21409634, 29337, 15120, 20481
21568212, 29534, 15220, 20581
21725964, 29717, 15320, 20681
21882588, 29894, 15420, 20781
22038467, 30092, 15520, 20881
22195354, 30272, 15620, 20984
22352995, 30489, 15720, 21092
22524509, 30746, 15820, 21298
22737104, 31576, 15999, 23523
22895710, 31880, 16146, 24276
23053683, 32097, 16256, 24418
23213581, 32520, 16416, 25704
23371102, 32785, 16524, 25972
23526870, 33011, 16624, 26114
23767450, 33317, 16724, 26323
23925503, 33567, 16826, 26583
24084210, 33820, 16932, 26738
24240561, 34037, 17056, 26882
24398075, 34234, 17158, 26999
24555532, 34447, 17259, 27109
24712738, 34650, 17361, 27223
24870463, 34853, 17461, 27338
25028479, 35101, 17561, 27455
25185091, 35300, 17661, 27564
25341168, 35498, 17761, 27668
25499196, 35693, 17861, 27777
25654844, 35893, 17963, 27894
25811753, 36115, 18063, 28002
25967844, 36328, 18163, 28116
26126187, 36540, 18263, 28226
26283403, 36788, 18363, 28326
26440674, 37016, 18463, 28428
26597956, 37241, 18563, 28536
26755911, 37445, 18663, 28640
26912440, 37654, 18763, 28742
27070632, 37842, 18863, 28844
27228655, 38052, 18963, 28956
27384883, 38263, 19063, 29060
27542436, 38460, 19163, 29160
27698883, 38648, 19263, 29260
27858402, 38861, 19363, 29366
28015267, 39085, 19466, 29478
28172682, 39283, 19566, 29582
28335835, 39611, 19671, 29852
28493756, 39885, 19795, 30145
28650723, 40119, 19896, 30310
28808024, 40309, 20002, 30461
28965920, 40508, 20102, 30601
29124982, 40713, 20202, 30709
29281503, 40915, 20302, 30819
29436514, 41101, 20402, 30927
29594622, 41302, 20502, 31039
29752957, 41497, 20602, 31158
29910383, 41697, 20702, 31279
30068725, 41910, 20802, 31410
30226644, 42119, 20902, 31518
30384095, 42326, 21002, 31638
30538853, 42555, 21102, 31747
30695249, 42782, 21202, 31850
30851698, 42980, 21302, 31950
31009601, 43181, 21402, 32052
31166369, 43376, 21503, 32162
31322539, 43572, 21606, 32277
31479229, 43792, 21708, 32387
31635094, 43987, 21809, 32502
31791531, 44192, 21913, 32611
31949735, 44408, 22013, 32721
32105903, 44621, 22113, 32825
32263943, 44833, 22213, 32927
32419987, 45037, 22313, 33037
32578675, 45239, 22413, 33141
32734162, 45444, 22513, 33241
32891543, 45668, 22613, 33347
33049442, 45900, 22720, 33465
33206923, 46098, 22820, 33573
33364199, 46285, 22920, 33683
33521941, 46495, 23020, 33790
33679075, 46691, 23126, 33909
33835389, 46896, 23226, 34009
33992975, 47095, 23326, 34121
34152276, 47322, 23427, 34234
34309151, 47515, 23531, 34346
34465453, 47703, 23631, 34449
34621346, 47918, 23734, 34553
34777319, 48106, 23841, 34665
34934739, 48311, 23943, 34779
35089130, 48506, 24045, 34887
35246704, 48679, 24145, 34991
35405328, 48864, 24245, 35098
35562514, 49052, 24345, 35203
35722645, 49236, 24455, 35314
35880469, 49459, 24587, 35458
36036800, 49680, 24688, 35570
36195815, 49892, 24790, 35691
36361759, 50140, 24897, 35807
36524379, 50390, 25021, 35948
36685001, 50609, 25159, 36117
36845029, 50822, 25277, 36238
37007585, 51046, 25404, 36411
37169036, 51264, 25509, 36523
37331627, 51486, 25663, 36687
37498032, 51700, 25794, 36838
37671128, 51924, 25952, 37036
37835976, 52199, 26102, 37203
37997124, 52399, 26230, 37337
38156215, 52599, 26338, 37448
38314103, 52805, 26453, 37575
38472827, 53033, 26576, 37712
38634079, 53261, 26706, 37842
38812890, 53628, 26903, 38232
38978507, 53945, 27066, 38580
39141452, 54250, 27196, 38856
39311049, 54602, 27312, 39176
39468222, 54857, 27420, 39440
39626149, 55067, 27525, 39579
39783235, 55283, 27626, 39722
39940925, 55500, 27726, 39835
40099957, 55705, 27836, 39970
40258751, 55912, 27938, 40078
40416708, 56117, 28040, 40199
40572733, 56319, 28141, 40316
40730703, 56520, 28242, 40429
40887287, 56711, 28351, 40544
41044640, 56913, 28454, 40649
41202421, 57100, 28556, 40753
41359303, 57277, 28656, 40853
41519731, 57610, 28786, 41298
41675984, 57880, 28930, 41592
41834013, 58130, 29038, 41726
41990579, 58366, 29146, 41861
42148284, 58589, 29254, 41980
42304662, 58791, 29362, 42097
42462577, 59024, 29470, 42213
42620324, 59265, 29570, 42323
42773892, 59479, 29672, 42441
42931615, 59681, 29774, 42546
43087369, 59901, 29878, 42659
