PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
14999, 181, 631, 1103
183867, 545, 1251, 2105
341326, 870, 1466, 2357
497056, 1144, 1638, 2557
652701, 1427, 1795, 2740
809897, 1729, 1921, 2885
964654, 2017, 2043, 3029
1122665, 2308, 2161, 3160
1279485, 2574, 2283, 3301
1435720, 2856, 2401, 3447
1593260, 3145, 2523, 3578
1751835, 3434, 2629, 3702
1908443, 3695, 2732, 3816
2064422, 3955, 2836, 3928
2221691, 4222, 2937, 4037
2378698, 4495, 3037, 4141
2534829, 4760, 3145, 4259
2695261, 5162, 3280, 4691
2854010, 5496, 3515, 5156
3008283, 5800, 3671, 5476
3165751, 6144, 3794, 5718
3322258, 6443, 3910, 5924
3479080, 6700, 4035, 6142
3633861, 6999, 4147, 6345
3789910, 7300, 4253, 6533
3944625, 7611, 4361, 6722
4102616, 7905, 4469, 6905
4259959, 8203, 4581, 7095
4416845, 8490, 4697, 7276
4571435, 8761, 4805, 7446
4728845, 9058, 4907, 7601
4886073, 9336, 5007, 7777
5043719, 9638, 5107, 7928
5199899, 9910, 5207, 8085
5356479, 10172, 5307, 8243
5511613, 10444, 5407, 8402
5669048, 10722, 5507, 8561
5823335, 10986, 5607, 8713
5980659, 11231, 5707, 8885
6138567, 11486, 5807, 9033
6294851, 11746, 5907, 9186
6452232, 12027, 6009, 9346
6608162, 12326, 6109, 9509
6765162, 12604, 6209, 9670
6920530, 12881, 6309, 9822
7077528, 13167, 6409, 9982
7231976, 13416, 6509, 10144
7388241, 13698, 6609, 10295
7545612, 14006, 6709, 10448
7701555, 14306, 6809, 10604
7859748, 14571, 6909, 10763
8016514, 14858, 7009, 10916
8172369, 15151, 7109, 11068
8330967, 15413, 7209, 11226
8488741, 15672, 7309, 11378
8646147, 15942, 7409, 11532
8801807, 16202, 7509, 11682
8959823, 16469, 7612, 11849
9116767, 16777, 7712, 12001
9274732, 17027, 7812, 12155
9430707, 17307, 7912, 12305
9584873, 17538, 8016, 12468
9740982, 17801, 8120, 12624
9898338, 18091, 8220, 12775
10054810, 18368, 8320, 12926
10211844, 18664, 8420, 13085
10369507, 18931, 8520, 13238
10526732, 19225, 8620, 13392
10682723, 19481, 8720, 13546
10839992, 19756, 8820, 13705
10994837, 19998, 8920, 13857
11151215, 20273, 9020, 14007
11309559, 20525, 9120, 14164
11467243, 20784, 9220, 14323
11623502, 21072, 9320, 14475
11777600, 21346, 9420, 14630
11936283, 21602, 9520, 14782
12092812, 21852, 9620, 14940
12250266, 22120, 9720, 15089
12406385, 22372, 9820, 15241
12564533, 22659, 9920, 15397
12719224, 22955, 10020, 15552
12875302, 23249, 10120, 15706
13031718, 23520, 10220, 15861
13188464, 23816, 10320, 16013
13341916, 24096, 10420, 16164
13495162, 24387, 10520, 16318
13651107, 24628, 10620, 16473
13807414, 24897, 10720, 16623
13965655, 25159, 10820, 16771
14121702, 25420, 10920, 16925
14278686, 25695, 11020, 17083
14436360, 25979, 11120, 17233
14594079, 26267, 11220, 17384
14751848, 26540, 11320, 17532
14908189, 26807, 11420, 17692
15063568, 27078, 11520, 17841
15218188, 27335, 11620, 17992
15374165, 27632, 11720, 18142
15530117, 27905, 11820, 18298
15690093, 28171, 11924, 18450
15848666, 28542, 12054, 18717
16006088, 28856, 12215, 18981
16162061, 29120, 12333, 19139
16317595, 29398, 12433, 19276
16476041, 29695, 12533, 19390
16632494, 29969, 12633, 19501
16790523, 30261, 12733, 19620
16948222, 30542, 12833, 19735
17106274, 30814, 12933, 19851
17264171, 31102, 13033, 19962
17420316, 31366, 13133, 20073
17576915, 31608, 13233, 20181
17733219, 31891, 13333, 20292
17891219, 32145, 13433, 20394
18050714, 32433, 13533, 20500
18209035, 32734, 13633, 20603
18365174, 33007, 13733, 20709
18522205, 33270, 13833, 20809
18677690, 33525, 13933, 20911
18834922, 33800, 14033, 21016
18990578, 34051, 14133, 21123
19147813, 34341, 14234, 21242
19307083, 34634, 14334, 21394
19463956, 34899, 14434, 21542
19620180, 35168, 14534, 21697
19776495, 35439, 14634, 21851
19932226, 35715, 14734, 22006
20090502, 35986, 14834, 22157
20247506, 36252, 14934, 22313
20405573, 36534, 15034, 22467
20563837, 36809, 15134, 22617
20720576, 37081, 15234, 22765
20877545, 37341, 15334, 22921
21033120, 37593, 15434, 23075
21189056, 37846, 15534, 23225
21346491, 38111, 15634, 23378
21504891, 38384, 15734, 23543
21662867, 38647, 15834, 23692
21820876, 38910, 15937, 23849
21977938, 39175, 16037, 24002
22136898, 39465, 16140, 24182
22292772, 39718, 16242, 24335
22452209, 40155, 16403, 25305
22610311, 40457, 16525, 25696
22767787, 40712, 16631, 25919
22926015, 41005, 16737, 26180
23083227, 41274, 16843, 26394
23240400, 41550, 16949, 26605
23397757, 41836, 17054, 26816
23553904, 42094, 17158, 27002
23712304, 42354, 17262, 27166
23870278, 42640, 17366, 27343
24027558, 42926, 17470, 27510
24184337, 43196, 17572, 27659
24341114, 43485, 17674, 27831
24498766, 43742, 17776, 27984
24738683, 44035, 17876, 28148
24894771, 44322, 17983, 28302
25050708, 44603, 18089, 28462
25207015, 44885, 18192, 28609
25362197, 45182, 18294, 28751
25519934, 45461, 18394, 28882
25676437, 45764, 18494, 28995
25831895, 46044, 18594, 29108
25990815, 46329, 18694, 29216
26148051, 46599, 18794, 29326
26304295, 46901, 18894, 29428
26459199, 47184, 18998, 29541
26615734, 47466, 19100, 29650
26773832, 47741, 19200, 29752
26930168, 48008, 19300, 29852
27088529, 48289, 19400, 29955
27245885, 48568, 19500, 30067
27403526, 48838, 19600, 30169
27559570, 49103, 19701, 30272
27715353, 49356, 19801, 30376
27872611, 49602, 19901, 30476
28028918, 49837, 20001, 30577
28183787, 50089, 20101, 30679
28340946, 50380, 20201, 30783
28498074, 50651, 20301, 30888
28655109, 50902, 20401, 30990
28812053, 51170, 20502, 31110
28970502, 51537, 20602, 31358
29125873, 51853, 20728, 31638
29281128, 52149, 20844, 31820
29435855, 52440, 20946, 31979
29596986, 52729, 21046, 32132
29772589, 53163, 21157, 32582
