PAPI_TOT_CYC, PAPI_L1_DCM, PAPI_L3_TCM, PAPI_L3_TCA
10818, 166, 413, 1020
177454, 524, 897, 1978
338613, 804, 1022, 2140
496206, 1040, 1124, 2258
653778, 1299, 1233, 2382
810880, 1543, 1335, 2492
968389, 1799, 1435, 2598
1125909, 2036, 1535, 2702
1284576, 2263, 1635, 2802
1442002, 2474, 1735, 2906
1598544, 2716, 1876, 3047
1756287, 2957, 1976, 3151
1914647, 3214, 2076, 3254
2072104, 3447, 2176, 3354
2228081, 3666, 2276, 3458
2386403, 3907, 2376, 3558
2544574, 4108, 2476, 3662
2701731, 4331, 2577, 3763
2860448, 4573, 2677, 3863
3018066, 4805, 2778, 4010
3176199, 5026, 2878, 4158
3332269, 5240, 2978, 4310
3490577, 5478, 3081, 4461
3647904, 5728, 3188, 4636
3805761, 5955, 3288, 4794
3964305, 6174, 3388, 4946
4122055, 6394, 3488, 5100
4279721, 6621, 3595, 5261
4438034, 6853, 3695, 5409
4595716, 7101, 3795, 5561
4753793, 7299, 3895, 5713
4911883, 7499, 3995, 5869
5069756, 7719, 4095, 6017
5227362, 7917, 4195, 6169
5385231, 8142, 4295, 6321
5543200, 8348, 4395, 6473
5699249, 8561, 4497, 6629
5857085, 8778, 4597, 6777
6015498, 8982, 4697, 6936
6173191, 9195, 4797, 7084
6331350, 9377, 4897, 7232
6489659, 9593, 4997, 7384
6647262, 9802, 5097, 7540
6804826, 10034, 5197, 7692
6963405, 10245, 5301, 7844
7119488, 10468, 5401, 7992
7277448, 10702, 5501, 8152
7435214, 10919, 5601, 8300
7590613, 11150, 5701, 8452
7748305, 11378, 5801, 8600
7904711, 11611, 5901, 8760
8062216, 11838, 6001, 8908
8220379, 12097, 6101, 9056
8378040, 12300, 6201, 9208
8541360, 12693, 6342, 9530
8698820, 12977, 6450, 9744
8856119, 13243, 6552, 9872
9014154, 13486, 6661, 9989
9171254, 13727, 6761, 10097
9329539, 13947, 6863, 10205
9487765, 14204, 6964, 10311
9642729, 14436, 7064, 10441
9800479, 14660, 7164, 10545
9958071, 14916, 7264, 10653
10116369, 15148, 7364, 10759
10273641, 15419, 7464, 10867
10432266, 15630, 7564, 10971
10590035, 15856, 7665, 11075
10747627, 16089, 7765, 11177
10905615, 16330, 7867, 11279
11063811, 16536, 7969, 11381
